Family,Scientific name,Common name,Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
Antpittas,Grallaria watkinsi,Watkins's Antpitta,10000-19999,suspected,Decreasing,suspected
Megapodes,Aepypodius arfakianus,Wattled Brushturkey,6700-670000,estimated,Decreasing,suspected
Cranes,Bugeranus carunculatus,Wattled Crane,6000-6300,estimated,Decreasing,estimated
"Guans, Chachalacas, Curassows",Crax globulosa,Wattled Curassow,1000-2499,estimated,Decreasing,inferred
"Guans, Chachalacas, Curassows",Aburria aburri,Wattled Guan,Unknown,,Decreasing,inferred
"Ibises, Spoonbills",Bostrychia carunculata,Wattled Ibis,670-17000,estimated,Unknown,not applicable
Jacanas,Jacana jacana,Wattled Jacana,5000000-49999999,estimated,Stable,suspected
Plovers,Vanellus senegallus,Wattled Lapwing,60000-210000,estimated,Decreasing,suspected
Ploughbill,Eulacestoma nigropectus,Wattled Ploughbill,Unknown,not applicable,Decreasing,suspected
Starlings,Creatophora cinerea,Wattled Starling,Unknown,not applicable,Stable,suspected
Albatrosses,Phoebastria irrorata,Waved Albatross,Unknown,estimated,Decreasing,estimated
Woodpeckers,Celeus undatus,Waved Woodpecker,Unknown,not applicable,Decreasing,suspected
Parrots,Pyrrhura peruviana,Wavy-breasted Parakeet,Unknown,not applicable,Decreasing,suspected
Laughingthrushes and allies,Pterorhinus delesserti,Wayanad Laughingthrush,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Glyphorynchus spirurus,Wedge-billed Woodcreeper,500000-4999999,estimated,Decreasing,suspected
Northern Storm-petrels,Hydrobates tethys,Wedge-rumped Storm-petrel,Unknown,estimated,Decreasing,suspected
"Hawks, Eagles",Aquila audax,Wedge-tailed Eagle,Unknown,estimated,Increasing,suspected
Tanagers,Emberizoides herbicola,Wedge-tailed Grass-finch,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Treron sphenurus,Wedge-tailed Green-pigeon,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Oreotrochilus adela,Wedge-tailed Hillstar,2500-9999,inferred,Decreasing,suspected
Hummingbirds,Pampa curvipennis,Wedge-tailed Sabrewing,Unknown,not applicable,Decreasing,suspected
"Petrels, Shearwaters",Ardenna pacifica,Wedge-tailed Shearwater,Unknown,estimated,Decreasing,suspected
Tetrakas,Hartertula flavoviridis,Wedge-tailed Tetraka,Unknown,not applicable,Decreasing,inferred
Thornbills,Smicrornis brevirostris,Weebill,Unknown,not applicable,Decreasing,suspected
"Rails, Gallinules, Coots",Gallirallus australis,Weka,71000-118000,estimated,Decreasing,estimated
Swallows and martins,Hirundo neoxena,Welcome Swallow,Unknown,not applicable,Increasing,estimated
Batises and Wattle-eyes,Batis occulta,West African Batis,Unknown,not applicable,Decreasing,suspected
Hornbills,Lophoceros semifasciatus,West African Pied Hornbill,Unknown,not applicable,Unknown,not applicable
Finches,Crithagra canicapilla,West African Seedeater,Unknown,,Stable,suspected
Batises and Wattle-eyes,Dyaphorophyia hormophora,West African Wattle-eye,Unknown,not applicable,Stable,suspected
"Ducks, Geese, Swans",Dendrocygna arborea,West Indian Whistling-duck,6000-15000,estimated,Decreasing,suspected
Woodpeckers,Melanerpes superciliaris,West Indian Woodpecker,Unknown,not applicable,Decreasing,suspected
"Guans, Chachalacas, Curassows",Ortalis poliocephala,West Mexican Chachalaca,50000-500000,suspected,Decreasing,suspected
"Pigeons, Doves",Zenaida meloda,West Peruvian Dove,Unknown,not applicable,Increasing,suspected
Typical Owls,Athene jacquinoti,West Solomons Owl,Unknown,not applicable,Decreasing,suspected
"Hawks, Eagles",Circaetus cinerascens,Western Banded Snake-eagle,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Dendrocolaptes sanctithomae,Western Barred Woodcreeper,Unknown,unknown,Decreasing,inferred
Bulbuls,Criniger barbatus,Western Bearded Greenbul,Unknown,not applicable,Stable,suspected
Batises and Wattle-eyes,Batis erlangeri,Western Black-headed Batis,Unknown,,Decreasing,estimated
Old World Orioles,Oriolus brachyrynchus,Western Black-headed Oriole,Unknown,not applicable,Stable,suspected
Tityras and allies,Tityra cayana,Western Black-tailed Tityra,Unknown,not applicable,Decreasing,suspected
Waxbills,Spermophaga haematina,Western Bluebill,Unknown,not applicable,Stable,suspected
Thrushes,Sialia mexicana,Western Bluebird,7100000,inferred,Increasing,inferred
Leaf-warblers,Phylloscopus bonelli,Western Bonelli's Warbler,6400000-8480000,estimated,Increasing,suspected
Bowerbirds,Chlamydera guttata,Western Bowerbird,Unknown,not applicable,Decreasing,suspected
Bristlebirds,Dasyornis longirostris,Western Bristlebird,"500-700, 600",estimated,Decreasing,inferred
"Pigeons, Doves",Pampusana beccarii,Western Bronze Ground Dove,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Columba iriditorques,Western Bronze-naped Pigeon,Unknown,not applicable,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Tetrao urogallus,Western Capercaillie,3980000-8550000,estimated,Decreasing,suspected
Chat-tanagers,Calyptophilus tertius,Western Chat-tanager,6700-13300,suspected,Decreasing,inferred
Cockatoos,Cacatua pastinator,Western Corella,Unknown,not applicable,Increasing,suspected
Painted berrypeckers,Paramythia olivacea,Western Crested Berrypecker,Unknown,not applicable,Decreasing,not applicable
Guineafowl,Guttera verreauxi,Western Crested Guineafowl,Unknown,estimated,Stable,suspected
Monarch-flycatchers,Trochocercus nitens,Western Crested-flycatcher,Unknown,not applicable,Decreasing,suspected
Leaf-warblers,Phylloscopus occipitalis,Western Crowned Leaf-warbler,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Goura cristata,Western Crowned-pigeon,2500-9999,estimated,Decreasing,suspected
Hornbills,Horizocerus hartlaubi,Western Dwarf Hornbill,Unknown,not applicable,Decreasing,suspected
Thornbills,Calamanthus montanellus,Western Fieldwren,Unknown,not applicable,Decreasing,suspected
Thornbills,Gerygone fusca,Western Gerygone,Unknown,not applicable,Decreasing,suspected
Fairy-wrens,Amytornis textilis,Western Grasswren,Unknown,,Decreasing,suspected
Grebes,Aechmophorus occidentalis,Western Grebe,80000-90000,estimated,Stable,inferred
African barbets,Pogoniulus coryphaea,Western Green Tinkerbird,Unknown,not applicable,Decreasing,inferred
Tityras and allies,Pachyramphus uropygialis,Western Grey-collared Becard,Unknown,not applicable,Decreasing,suspected
"Gulls, Terns, Skimmers",Larus occidentalis,Western Gull,Unknown,estimated,Increasing,suspected
Tanagers,Sphenopsis ochracea,Western Hemispingus,Unknown,not applicable,Decreasing,suspected
Pittas,Pitta sordida,Western Hooded Pitta,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Tyrannus verticalis,Western Kingbird,30000000,estimated,Decreasing,estimated
Cuckoos,Eudynamys scolopaceus,Western Koel,Unknown,not applicable,Stable,suspected
Hornbills,Horizocerus albocristatus,Western Long-tailed Hornbill,Unknown,not applicable,Decreasing,suspected
"Hawks, Eagles",Circus aeruginosus,Western Marsh-harrier,600000-1100000,suspected,Stable,suspected
New World blackbirds,Sturnella neglecta,Western Meadowlark,Unknown,estimated,Decreasing,estimated
Sunbirds,Cinnyris gertrudis,Western Miombo Sunbird,Unknown,not applicable,Stable,suspected
Bulbuls,Arizelocichla tephrolaema,Western Mountain Greenbul,Unknown,not applicable,Stable,suspected
Hummingbirds,Oreonympha albolimbata,Western Mountaineer,Unknown,not applicable,Decreasing,suspected
Laughingthrushes and allies,Ianthocincla cineracea,Western Moustached Laughingthrush,Unknown,not applicable,Decreasing,suspected
Nicators,Nicator chloris,Western Nicator,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Rhynchocyclus aequinoctialis,Western Olivaceous Flatbill,Unknown,not applicable,Decreasing,suspected
Reed-warblers,Iduna opaca,Western Olivaceous Warbler,Unknown,not applicable,Decreasing,estimated
Ovenbirds,Sittasomus griseus,Western Olivaceous Woodcreeper,Unknown,unknown,Decreasing,suspected
Tyrant-flycatchers,Myiotriccus ornatus,Western Ornate Flycatcher,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Ptilinopus ornatus,Western Ornate Fruit-dove,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Epinecrophylla ornata,Western Ornate Stipplethroat,Unknown,not applicable,Decreasing,suspected
Old World Warblers,Curruca hortensis,Western Orphean Warbler,Unknown,estimated,Increasing,estimated
Birds-of-paradise,Parotia sefilata,Western Parotia,Unknown,not applicable,Decreasing,suspected
Hornbills,Bycanistes fistulator,Western Piping Hornbill,Unknown,not applicable,Decreasing,suspected
Turacos,Crinifer piscator,Western Plantain-eater,Unknown,not applicable,Stable,suspected
Quail-thrushes and Jewel-babblers,Cinclosoma marginatum,Western Quail-thrush,Unknown,not applicable,Decreasing,estimated
Thrushes,Turdus rubripes,Western Red-legged Thrush,Unknown,not applicable,Decreasing,suspected
Toucans,Pteroglossus sturmii,Western Red-necked Ara?ari,Unknown,not applicable,Decreasing,suspected
Herons,Egretta gularis,Western Reef-egret,Unknown,estimated,Stable,suspected
Nuthatches,Sitta neumayer,Western Rock Nuthatch,2500000-12999999,estimated,Stable,suspected
Parrots,Platycercus icterotis,Western Rosella,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Thamnistes anabatinus,Western Russet Antshrike,Unknown,not applicable,Decreasing,suspected
"Sandpipers, Snipes, Phalaropes",Calidris mauri,Western Sandpiper,3500000,estimated,Decreasing,suspected
Typical Owls,Megascops kennicottii,Western Screech-owl,73000-230000,estimated,Decreasing,estimated
Crows and jays,Aphelocoma californica,Western Scrub-jay,Unknown,,Stable,suspected
Shrike-tits,Falcunculus leucogaster,Western Shrike-tit,Unknown,not applicable,Decreasing,estimated
Laughingthrushes and allies,Actinodura ramsayi,Western Spectacled Barwing,Unknown,not applicable,Decreasing,suspected
Spindalises,Spindalis zena,Western Spindalis,200000,estimated,Stable,suspected
Honeyeaters,Acanthorhynchus superciliosus,Western Spinebill,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Spilopelia suratensis,Western Spotted Dove,Unknown,not applicable,Increasing,suspected
Birds-of-paradise,Lophorina superba,Western Superb Bird-of-Paradise,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Ptilinopus temminckii,Western Superb Fruit-dove,Unknown,not applicable,Decreasing,suspected
Cardinals,Piranga ludoviciana,Western Tanager,Unknown,estimated,Increasing,estimated
Thornbills,Acanthiza inornata,Western Thornbill,Unknown,not applicable,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Tragopan melanocephalus,Western Tragopan,3300,estimated,Decreasing,suspected
Tyrant-flycatchers,Contopus punensis,Western Tropical Pewee,Unknown,not applicable,Stable,suspected
Sunbirds,Anthreptes longuemarei,Western Violet-backed Sunbird,Unknown,not applicable,Stable,suspected
"Rails, Gallinules, Coots",Rallus aquaticus,Western Water Rail,600000-1499999,estimated,Decreasing,suspected
Honeyeaters,Anthochaera lunulata,Western Wattlebird,Unknown,not applicable,Decreasing,observed
Cuckooshrikes,Lobotos lobatus,Western Wattled Cuckooshrike,Unknown,estimated,Decreasing,suspected
Hummingbirds,Schistes albogularis,Western Wedge-billed Hummingbird,Unknown,not applicable,Decreasing,suspected
Whipbirds and wedgebills,Psophodes nigrogularis,Western Whipbird,13500,estimated,Stable,not applicable
Tyrant-flycatchers,Platyrinchus albogularis,Western White-throated Spadebill,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Automolus virgatus,Western Woodhaunter,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Contopus sordidulus,Western Wood-pewee,9600000,estimated,Decreasing,estimated
Australasian robins,Eopsaltria griseogularis,Western Yellow Robin,Unknown,not applicable,Decreasing,estimated
Pipits and Wagtails,Motacilla flava,Western Yellow Wagtail,60000000-109999999,estimated,Decreasing,suspected
African barbets,Trachylaemus goffinii,Western Yellow-billed Barbet,Unknown,not applicable,Decreasing,suspected
African barbets,Buccanodon dowsetti,Western Yellow-spotted Barbet,Unknown,not applicable,Decreasing,inferred
"Petrels, Shearwaters",Procellaria westlandica,Westland Petrel,7900-13700,estimated,Unknown,
Old World Orioles,Sphecotheres hypoleucus,Wetar Figbird,60000-100000,estimated,Stable,suspected
"Pigeons, Doves",Pampusana hoedtii,Wetar Ground Dove,1500-7000,estimated,Decreasing,inferred
Honeyeaters,Myzomela kuehni,Wetar Myzomela,20000-49999,suspected,Unknown,not applicable
Old World Orioles,Oriolus finschi,Wetar Oriole,Unknown,not applicable,Unknown,not applicable
Typical Owls,Otus tempestatis,Wetar Scops-owl,Unknown,,Stable,suspected
Weavers,Ploceus weynsi,Weyns's Weaver,Unknown,not applicable,Stable,suspected
"Petrels, Shearwaters",Pelecanoides whenuahouensis,Whenua Hou Diving-petrel,200,estimated,Increasing,estimated
"Sandpipers, Snipes, Phalaropes",Numenius phaeopus,Whimbrel,1800000-2650000,estimated,Decreasing,suspected
Old World Flycatchers and Chats,Saxicola rubetra,Whinchat,20500000-28100000,estimated,Decreasing,suspected
Auks,Aethia pygmaea,Whiskered Auklet,67000,estimated,Decreasing,suspected
Flowerpeckers,Dicaeum proprium,Whiskered Flowerpecker,Unknown,not applicable,Decreasing,suspected
Tityras and allies,Myiobius barbatus,Whiskered Flycatcher,Unknown,,Stable,suspected
Pittas,Erythropitta kochi,Whiskered Pitta,Unknown,not applicable,Decreasing,suspected
Typical Owls,Megascops trichopsis,Whiskered Screech-owl,Unknown,estimated,Increasing,estimated
"Gulls, Terns, Skimmers",Chlidonias hybrida,Whiskered Tern,Unknown,estimated,Stable,suspected
Treeswifts,Hemiprocne comata,Whiskered Treeswift,Unknown,not applicable,Decreasing,suspected
Wrens,Pheugopedius mystacalis,Whiskered Wren,Unknown,not applicable,Unknown,not applicable
White-eyes and Yuhinas,Yuhina flavicollis,Whiskered Yuhina,Unknown,not applicable,Decreasing,not applicable
Leaf-warblers,Phylloscopus whistleri,Whistler's Warbler,Unknown,not applicable,Decreasing,suspected
Cisticolas and allies,Cisticola lateralis,Whistling Cisticola,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Chrysoena viridis,Whistling Dove,3000-10000,estimated,Decreasing,suspected
Cuckoos,Hierococcyx nisicolor,Whistling Hawk-Cuckoo,Unknown,not applicable,Decreasing,suspected
Herons,Syrigma sibilatrix,Whistling Heron,23300-73300,not applicable,Stable,not applicable
"Hawks, Eagles",Haliastur sphenurus,Whistling Kite,Unknown,estimated,Decreasing,suspected
Cuckoos,Cercococcyx lemaireae,Whistling Long-tailed Cuckoo,Unknown,,Decreasing,inferred
New World warblers,Catharopeza bishopi,Whistling Warbler,2000-3300,estimated,Decreasing,suspected
Cuckoos,Ceuthmochares australis,Whistling Yellowbill,Unknown,not applicable,Decreasing,suspected
Cotingas,Procnias albus,White Bellbird,Unknown,not applicable,Decreasing,suspected
Cockatoos,Cacatua alba,White Cockatoo,Unknown,,Decreasing,inferred
"Pheasants, Partridges, Turkeys, Grouse",Crossoptilon crossoptilon,White Eared-pheasant,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Pseudastur albicollis,White Hawk,50000-499999,estimated,Decreasing,inferred
"Ibises, Spoonbills",Eudocimus albus,White Ibis,210000-360000,suspected,Stable,suspected
"Pigeons, Doves",Ducula luctuosa,White Imperial-pigeon,Unknown,not applicable,Decreasing,inferred
Tyrant-flycatchers,Xolmis irupero,White Monjita,Unknown,not applicable,Stable,suspected
Old World Sparrows,Passer shelleyi,White Nile Sparrow,Unknown,not applicable,Stable,suspected
Storks,Ciconia ciconia,White Stork,Unknown,estimated,Increasing,suspected
"Rails, Gallinules, Coots",Porphyrio albus,White Swamphen,Unknown,,,not applicable
Pipits and Wagtails,Motacilla alba,White Wagtail,135000000-221000000,estimated,Stable,suspected
Woodpeckers,Melanerpes candidus,White Woodpecker,Unknown,not applicable,Increasing,suspected
Tits and chickadees,Melaniparus leuconotus,White-backed Black Tit,Unknown,not applicable,Decreasing,suspected
"Ducks, Geese, Swans",Thalassornis leuconotus,White-backed Duck,8500-20000,suspected,Decreasing,inferred
Typical Antbirds,Pyriglena leuconota,White-backed Fire-eye,Unknown,not applicable,Decreasing,not applicable
Mousebirds,Colius colius,White-backed Mousebird,Unknown,not applicable,Increasing,suspected
Herons,Calherodius leuconotus,White-backed Night Heron,Unknown,suspected,Decreasing,inferred
Swallows and martins,Cheramoeca leucosterna,White-backed Swallow,Unknown,not applicable,Increasing,estimated
Thrushes,Turdus kessleri,White-backed Thrush,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Gyps africanus,White-backed Vulture,Unknown,,Decreasing,estimated
Woodpeckers,Dendrocopos leucotos,White-backed Woodpecker,1320000-3350000,estimated,Decreasing,suspected
Woodswallows and Butcherbirds,Artamus insignis,White-backed Woodswallow,Unknown,not applicable,Stable,suspected
Mockingbirds and thrashers,Mimus triurus,White-banded Mockingbird,Unknown,not applicable,Unknown,not applicable
Swallows and martins,Atticora fasciata,White-banded Swallow,Unknown,not applicable,Decreasing,suspected
Tanagers,Neothraupis fasciata,White-banded Tanager,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Mecocerculus stictopterus,White-banded Tyrannulet,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Picumnus cirratus,White-barred Piculet,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Biatas nigropectus,White-bearded Antshrike,2500-9999,estimated,Decreasing,inferred
Tyrant-flycatchers,Phelpsia inornata,White-bearded Flycatcher,Unknown,not applicable,Stable,suspected
Bulbuls,Criniger ndussumensis,White-bearded Greenbul,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Oxypogon lindenii,White-bearded Helmetcrest,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Phaethornis hispidus,White-bearded Hermit,Unknown,not applicable,Decreasing,suspected
Manakins,Manacus manacus,White-bearded Manakin,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Myrmeciza longipes,White-bellied Antbird,500000-4999999,inferred,Decreasing,suspected
Antpittas,Grallaria hypoleuca,White-bellied Antpitta,Unknown,not applicable,Decreasing,suspected
African barbets,Lybius leucogaster,White-bellied Barbet,1000-2499,estimated,Decreasing,inferred
Old World Flycatchers and Chats,Cyornis pallidipes,White-bellied Blue Flycatcher,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Saxicola gutturalis,White-bellied Bushchat,30000-200000,estimated,Decreasing,suspected
Bustards,Eupodotis senegalensis,White-bellied Bustard,Unknown,not applicable,Decreasing,suspected
Finches,Crithagra dorsostriata,White-bellied Canary,Unknown,not applicable,Stable,suspected
"Guans, Chachalacas, Curassows",Ortalis leucogastra,White-bellied Chachalaca,50000-500000,suspected,Stable,suspected
Ovenbirds,Cinclodes palliatus,White-bellied Cinclodes,50-249,estimated,Decreasing,inferred
Fairy Flycatcher and allies,Elminia albiventris,White-bellied Crested-flycatcher,Unknown,not applicable,Decreasing,suspected
Waxbills,Neochmia evangelinae,White-bellied Crimson Finch,Unknown,not applicable,Stable,suspected
Cuckooshrikes,Coracina papuensis,White-bellied Cuckooshrike,Unknown,not applicable,Increasing,suspected
Tanagers,Dacnis albiventris,White-bellied Dacnis,Unknown,not applicable,Stable,suspected
Drongos,Dicrurus caerulescens,White-bellied Drongo,Unknown,not applicable,Decreasing,not applicable
Hummingbirds,Chlorestes candida,White-bellied Emerald,500000-4999999,suspected,Decreasing,suspected
Vireos,Erpornis zantholeuca,White-bellied Erpornis,Unknown,not applicable,Decreasing,not applicable
Fantails,Rhipidura euryura,White-bellied Fantail,Unknown,not applicable,Decreasing,inferred
Tyrant-flycatchers,Leptopogon albidiventer,White-bellied Flycatcher,Unknown,not applicable,Decreasing,suspected
Turacos,Criniferoides leucogaster,White-bellied Go-away-bird,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Accipiter haplochrous,White-bellied Goshawk,5000-9999,estimated,Decreasing,suspected
"Pigeons, Doves",Treron sieboldii,White-bellied Green-pigeon,Unknown,not applicable,Decreasing,suspected
Herons,Ardea insignis,White-bellied Heron,50-249,estimated,Decreasing,inferred
Hummingbirds,Elliotomyia chionogaster,White-bellied Hummingbird,Unknown,not applicable,Decreasing,not applicable
"Pigeons, Doves",Ducula forsteni,White-bellied Imperial-pigeon,Unknown,not applicable,Decreasing,inferred
Kingfishers,Corythornis leucogaster,White-bellied Kingfisher,Unknown,not applicable,Decreasing,suspected
Cuckooshrikes,Pericrocotus erythropygius,White-bellied Minivet,Unknown,not applicable,Stable,suspected
Hummingbirds,Lampornis hemileucus,White-bellied Mountain-gem,20000-49999,suspected,Stable,suspected
Waxbills,Lonchura leucogastra,White-bellied Munia,Unknown,not applicable,Stable,suspected
Tinamous,Nothura boraquira,White-bellied Nothura,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Picumnus spilogaster,White-bellied Piculet,Unknown,not applicable,Decreasing,suspected
Whistlers,Pseudorectes incertus,White-bellied Pitohui,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Myiornis albiventris,White-bellied Pygmy-tyrant,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Luscinia phaenicuroides,White-bellied Redstart,Unknown,not applicable,Stable,suspected
Old World Flycatchers and Chats,Cossyphicula roberti,White-bellied Robin-chat,Unknown,not applicable,Decreasing,suspected
"Hawks, Eagles",Haliaeetus leucogaster,White-bellied Sea-eagle,2600-41000,suspected,Decreasing,suspected
Tanagers,Sporophila leucoptera,White-bellied Seedeater,Unknown,not applicable,Stable,suspected
Seedsnipes,Attagis malouinus,White-bellied Seedsnipe,5000-20000,estimated,Stable,suspected
Old World Flycatchers and Chats,Sholicola albiventris,White-bellied Sholakili,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Mazaria propinqua,White-bellied Spinetail,Unknown,not applicable,Stable,suspected
Southern Storm-petrels,Fregetta grallaria,White-bellied Storm-petrel,Unknown,estimated,Decreasing,suspected
Tanagers,Tangara brasiliensis,White-bellied Tanager,Unknown,not applicable,Decreasing,suspected
Fantails,Rhipidura leucothorax,White-bellied Thicket-fantail,Unknown,not applicable,Stable,suspected
Tits and chickadees,Melaniparus albiventris,White-bellied Tit,Unknown,not applicable,Decreasing,estimated
Tyrant-flycatchers,Hemitriccus griseipectus,White-bellied Tody-tyrant,Unknown,not applicable,Decreasing,suspected
Crows and jays,Dendrocitta leucogastra,White-bellied Treepie,Unknown,not applicable,Stable,suspected
New World warblers,Basileuterus hypoleucus,White-bellied Warbler,Unknown,not applicable,Decreasing,suspected
Whistlers,Pachycephala leucogastra,White-bellied Whistler,Unknown,not applicable,Stable,suspected
Woodpeckers,Dryocopus javensis,White-bellied Woodpecker,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Chaetocercus mulsant,White-bellied Woodstar,Unknown,not applicable,Decreasing,suspected
Wrens,Uropsila leucogastra,White-bellied Wren,50000-499999,suspected,Decreasing,suspected
Typical Antbirds,Myrmoderus loricatus,White-bibbed Antbird,Unknown,not applicable,Decreasing,suspected
Scimitar-babblers and allies,Stachyris thoracica,White-bibbed Babbler,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Ptilinopus rivoli,White-bibbed Fruit-dove,Unknown,not applicable,Stable,suspected
Swallows and martins,Hirundo nigrita,White-bibbed Swallow,Unknown,not applicable,Decreasing,suspected
Weavers,Bubalornis albirostris,White-billed Buffalo-Weaver,Unknown,not applicable,Stable,suspected
Crows and jays,Corvus woodfordi,White-billed Crow,Unknown,not applicable,Decreasing,suspected
Starlings,Onychognathus albirostris,White-billed Starling,Unknown,not applicable,Stable,suspected
Typical Antbirds,Rhegmatorhina hoffmannsi,White-breasted Antbird,Unknown,not applicable,Decreasing,inferred
Scimitar-babblers and allies,Stachyris grammiceps,White-breasted Babbler,Unknown,not applicable,Decreasing,suspected
Cuckooshrikes,Ceblepyris pectoralis,White-breasted Cuckooshrike,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Pampusana jobiensis,White-breasted Ground Dove,Unknown,not applicable,Decreasing,suspected
Guineafowl,Agelastes meleagrides,White-breasted Guineafowl,39000-93000,estimated,Decreasing,inferred
Mesites,Mesitornis variegatus,White-breasted Mesite,5300,estimated,Decreasing,suspected
Monarch-flycatchers,Symposiachrus menckei,White-breasted Monarch,1120-11930,suspected,Unknown,
Waxbills,Nigrita fusconotus,White-breasted Nigrita,Unknown,not applicable,Stable,suspected
Nuthatches,Sitta carolinensis,White-breasted Nuthatch,Unknown,estimated,Increasing,estimated
Parrotbills and allies,Paradoxornis ruficeps,White-breasted Parrotbill,Unknown,not applicable,Decreasing,suspected
Australasian robins,Quoyornis georgianus,White-breasted Robin,Unknown,not applicable,Stable,suspected
Sunbirds,Cinnyris talatala,White-breasted Sunbird,Unknown,not applicable,Stable,suspected
Tapaculos,Eleoscytalopus indigoticus,White-breasted Tapaculo,Unknown,not applicable,Decreasing,suspected
Mockingbirds and thrashers,Ramphocinclus brachyurus,White-breasted Thrasher,1300-1400,estimated,Decreasing,estimated
"Rails, Gallinules, Coots",Amaurornis phoenicurus,White-breasted Waterhen,Unknown,estimated,Unknown,not applicable
Whistlers,Pachycephala lanioides,White-breasted Whistler,Unknown,not applicable,Stable,suspected
Woodswallows and Butcherbirds,Artamus leucoryn,White-breasted Woodswallow,Unknown,not applicable,Stable,suspected
Wrens,Henicorhina leucosticta,White-breasted Wood-wren,Unknown,estimated,Decreasing,suspected
Tanagers,Melanodera melanodera,White-bridled Finch,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Myrmoborus leucophrys,White-browed Antbird,Unknown,not applicable,Decreasing,suspected
Antpittas,Hylopezus ochroleucus,White-browed Antpitta,Unknown,not applicable,Decreasing,suspected
Australasian babblers,Pomatostomus superciliosus,White-browed Babbler,Unknown,not applicable,Decreasing,suspected
New World sparrows,Arremon torquatus,White-browed Brushfinch,Unknown,not applicable,Decreasing,suspected
Bulbuls,Pycnonotus luteolus,White-browed Bulbul,Unknown,not applicable,Stable,suspected
Old World Flycatchers and Chats,Saxicola macrorhynchus,White-browed Bushchat,2500-9999,estimated,Decreasing,suspected
Old World Flycatchers and Chats,Tarsiger indicus,White-browed Bush-robin,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Ochthoeca leucophrys,White-browed Chat-tyrant,Unknown,not applicable,Stable,suspected
Tanagers,Conirostrum ferrugineiventre,White-browed Conebill,Unknown,not applicable,Decreasing,suspected
Cuckoos,Centropus superciliosus,White-browed Coucal,Unknown,,Stable,suspected
"Rails, Gallinules, Coots",Amaurornis cinerea,White-browed Crake,Unknown,not applicable,Unknown,not applicable
Crombecs and allies,Sylvietta leucophrys,White-browed Crombec,Unknown,,Decreasing,suspected
Fantails,Rhipidura aureola,White-browed Fantail,Unknown,not applicable,Stable,suspected
Ovenbirds,Anabacerthia amaurotis,White-browed Foliage-gleaner,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Fraseria cinerascens,White-browed Forest-flycatcher,Unknown,not applicable,Stable,suspected
Parrotbills and allies,Fulvetta vinipectus,White-browed Fulvetta,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Muscisaxicola albilora,White-browed Ground-tyrant,Unknown,not applicable,Stable,suspected
"Guans, Chachalacas, Curassows",Penelope jacucaca,White-browed Guan,Unknown,not applicable,Decreasing,inferred
"Hawks, Eagles",Leucopternis kuhli,White-browed Hawk,Unknown,estimated,Decreasing,suspected
Tanagers,Kleinothraupis auricularis,White-browed Hemispingus,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Phaethornis stuarti,White-browed Hermit,Unknown,not applicable,Decreasing,not applicable
Old World Flycatchers and Chats,Vauriella insignis,White-browed Jungle-flycatcher,Unknown,not applicable,Stable,suspected
Laughingthrushes and allies,Pterorhinus sannio,White-browed Laughingthrush,Unknown,not applicable,Stable,suspected
